0.24 82.37 3.94
0.3 78.83 6.58
0.31 78.39 5.46
0.35 88.10 9.45
0.36 80.16 4.37
0.38 81.74 3.4
0.43 89.36 4.89
0.44 85.48 8.59
0.51 90.67 3.66
0.52 94.61 4.2
0.56 93.59 3.96
0.57 96.59 8.76
0.59 98.75 4.66
0.6 90.96 7.04
0.61 97.59 3.97
0.64 99.09 4.53
0.73 100.69 8.03
1.48 153.59 8.27 
#2.33 224.25 11.30
#2.33 228.03 10.59
2.33 223.99 11.12
2.34 222.105 10.38
2.36 226.24 11.18
